Unnamed: 0,Unnamed: 0.1,ID,Tweet,Event,Retweet_Count,Follower_Count,Source,User_Created_at,Tweet_Created_at,User_Language,User_Screen_Name,User_Location,Event_Decrption,Categories,Priority
1151,1151,324694339240460289,"Explosion reported at fertilizer plant in West, McLennan Co.",westTexasExplosion2013,0,2545,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2012-09-13 15:32:52,2013-04-18 01:22:17,en,NavarroOEM,"Corsicana, TX","On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['NewSubEvent'],Critical
1157,1157,324702723675144192,"@wfaachannel8 McLennan co. dispatch asking more resources rescue trapped people in apartment #explosion at fertilizer plant in West, TX",westTexasExplosion2013,6,5461,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2009-08-18 16:37:06,2013-04-18 01:55:36,en,ToddWFAA8,Dallas/Fort Worth,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['EmergingThreats'],Critical
1165,1165,324709166121877504,"RT @Afterseven: WACO EXPLOSION DISPATCH: People trapped IN the Fire  ""I need anybody and everybody you can send"". http://t.co/8pMJsSwunm",westTexasExplosion2013,3,1237,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2011-06-06 05:44:57,2013-04-18 02:21:12,en,nestwings,Dixie,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['EmergingThreats'],Critical
1190,1190,324720616546631680,RT @911BUFF: BREAKING NEWS - TEXAS EXPLOSION U/D - ENTIRE TOWN OF WEST TEXAS UNDER EVACUATION. TOXIC FUMES SPREADING. EMS COMMAND POST E ...,westTexasExplosion2013,202,405,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",2012-02-15 03:35:51,2013-04-18 03:06:42,en,hicksonjd,"Tampa, FL","On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['MovePeople'],High
1231,1231,324732356432887809,"RT @abc13SoniaAzad: #West fire: more than 200 injuries, 40 critical. 75-100 homes, businesses destroyed. #abc13",westTexasExplosion2013,0,4287,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>",2008-05-25 10:08:27,2013-04-18 03:53:21,en,ChrisAstro,"Sheppard AFB, Texas, USA.","On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['Factoid'],High
1279,1279,324738937295863808,"RT @stealingsand: rt @[..] To add to the worry, this is an environmental disaster. Anhydrous ammonia can be deadly. #prayforwest http:// ...",westTexasExplosion2013,2,1331,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>",2007-05-07 14:25:13,2013-04-18 04:19:30,en,theUcane,Austin,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['EmergingThreats'],High
1212,1212,324728384414437376,"Damn RT @NewsBreaker: BREAKING: KXXV-TV reporting five firefighters, one police officer dead due to explosion at fertilizer plant in West,TX",westTexasExplosion2013,4,4230,"<a href=""http://www.myplume.com/"" rel=""nofollow"">PlumeÂ forÂ Android</a>",2008-11-08 03:31:49,2013-04-18 03:37:34,en,milesfan79,#BlackTwitter,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['Factoid'],Medium
1203,1203,324726211764961280,"RT @NewsBreaker: BREAKING: KXXV-TV reporting five firefighters, one police officer dead due to explosion at fertilizer plant in West, TX ...",westTexasExplosion2013,134,1728,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2012-07-17 01:55:25,2013-04-18 03:28:56,en,SMcK17,"Toledo, Ohio","On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['Factoid'],Medium
1311,1311,324742930264883200,RT @MisterPryor35: I can't believe this happened prayers go out to everyone affected by the explosion God be with them. #prayfortexas ht ...,westTexasExplosion2013,131,645,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2012-03-11 22:26:48,2013-04-18 04:35:22,en,brookebutler44,CO|CA,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['MultimediaShare'],Medium
1287,1287,324739855814901762,RT @JCassidyMusic: Please keep the town of West Texas and all surrounding areas in your prayers tonight. God be with everyone involved.  ...,westTexasExplosion2013,22,768,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",2009-03-28 08:15:49,2013-04-18 04:23:09,en,ohnoitsjanna,MAINE âœˆ BALTIMORE,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['Sentiment'],Low
1177,1177,324715289801531393,Official: Several injured in Texas plant explosion http://t.co/c9PTjgIvQ4,westTexasExplosion2013,0,613,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",2013-02-28 02:06:49,2013-04-18 02:45:32,en,limitws,,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['News'],Low
1213,1213,324728619303849984,"Just heard about the explosion in #West. Totally shocked, Nick's grandparents live there. So sad. http://t.co/M31qUKWmRg",westTexasExplosion2013,0,160,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2012-04-18 18:40:52,2013-04-18 03:38:30,en,JJulieBird,"Garland, Tx","On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['Sentiment'],Low
